MOLECULE_NAME,MECHANISM_OF_ACTION,TARGET_NAME
Gsk-1059615,PI3-kinase class I inhibitor,PI3-kinase class I
Osi-930,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Cep-2563,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Ly2623091,Mineralocorticoid receptor antagonist,Mineralocorticoid receptor
Xl550,Mineralocorticoid receptor antagonist,Mineralocorticoid receptor
Azm-475271,Tyrosine-protein kinase SRC inhibitor,Tyrosine-protein kinase SRC
Sar-113945,Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor,Inhibitor of nuclear factor kappa B kinase beta subunit
Tesevatinib,Ephrin type-B receptor 4 inhibitor,Ephrin type-B receptor 4
Ly2940094,Nociceptin receptor antagonist,Nociceptin receptor
Odelepran,Opioid receptors; mu/kappa/delta antagonist,Opioid receptors; mu/kappa/delta
Befiradol,Serotonin 1a (5-HT1a) receptor agonist,Serotonin 1a (5-HT1a) receptor
Nebentan,Endothelin receptor ET-A antagonist,Endothelin receptor ET-A
Syl-1001,Vanilloid receptor antagonist,Vanilloid receptor
Masitinib,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Lestaurtinib,Tyrosine-protein kinase receptor RET inhibitor,Tyrosine-protein kinase receptor RET
Vapreotide,Somatostatin receptor 3 agonist,Somatostatin receptor 3
Motavizumab,Fusion glycoprotein F0 inhibitor,Fusion glycoprotein F0
Desmoteplase,Plasminogen activator,Plasminogen
Tildrakizumab,Interleukin-23 subunit alpha inhibitor,Interleukin-23 subunit alpha
Ic14,Monocyte differentiation antigen CD14 inhibitor,Monocyte differentiation antigen CD14
F16il2,Tenascin other,Tenascin
Aluminum Acetate,Unknown,
Argatroban,Thrombin inhibitor,Thrombin
Cyclizine,Histamine H1 receptor antagonist,Histamine H1 receptor
Alcaftadine,Histamine H1 receptor antagonist,Histamine H1 receptor
Dapiprazole,Alpha-1a adrenergic receptor antagonist,Alpha-1a adrenergic receptor
Dantrolene,Ryanodine receptor 1 antagonist,Ryanodine receptor 1
Regorafenib,Tyrosine-protein kinase ABL inhibitor,Tyrosine-protein kinase ABL
Alprostadil,Prostanoid EP2 receptor agonist,Prostanoid EP2 receptor
Zolmitriptan,Serotonin 1b (5-HT1b) receptor agonist,Serotonin 1b (5-HT1b) receptor
Ceruletide,Cholecystokinin A receptor agonist,Cholecystokinin A receptor
Fluoxetine,Serotonin transporter inhibitor,Serotonin transporter
Amitriptyline,Serotonin transporter inhibitor,Serotonin transporter
Vandetanib,Tyrosine-protein kinase SRC inhibitor,Tyrosine-protein kinase SRC
Lisdexamfetamine,Dopamine transporter releasing agent,Dopamine transporter
Beclomethasone Dipropionate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Fluticasone Furoate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Alclometasone Dipropionate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Amitriptyline,Norepinephrine transporter inhibitor,Norepinephrine transporter
Trametinib,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Dual specificity mitogen-activated protein kinase kinase 2
Pazopanib,Fibroblast growth factor receptor 1 inhibitor,Fibroblast growth factor receptor 1
Desogestrel,Progesterone receptor agonist,Progesterone receptor
Theophylline,Phosphodiesterase 4 inhibitor,Phosphodiesterase 4
Aspirin,Cyclooxygenase inhibitor,Cyclooxygenase
Indomethacin,Cyclooxygenase inhibitor,Cyclooxygenase
Bitolterol,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
Vorinostat,Histone deacetylase 2 inhibitor,Histone deacetylase 2
Desflurane,Glycine receptor (alpha-1/beta) positive modulator,Glycine receptor (alpha-1/beta)
Sulfanilamide,Bacterial dihydropteroate synthase inhibitor,Bacterial dihydropteroate synthase
Cefaclor,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Cefprozil,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Cefonicid,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Mitoxantrone,DNA inhibitor,DNA
Trifluridine,DNA inhibitor,DNA
Haloperidol,D2-like dopamine receptor inverse agonist,D2-like dopamine receptor
Lindane,GABA-A receptor negative allosteric modulator,GABA-A receptor
Pemoline,Unknown,
Miltefosine,Unknown,
Tipiracil,Thymidine phosphorylase inhibitor,Thymidine phosphorylase
Bms-698769,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Cc-115,DNA-dependent protein kinase inhibitor,DNA-dependent protein kinase
Cep-37440,Focal adhesion kinase 1 inhibitor,Focal adhesion kinase 1
Olocrolimus,FK506-binding protein 1A inhibitor,FK506-binding protein 1A
Xl-418,Serine/threonine-protein kinase AKT inhibitor,Serine/threonine-protein kinase AKT
Bi113823,Bradykinin B1 receptor antagonist,Bradykinin B1 receptor
Efatutazone,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
Foretinib,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Bafetinib,Tyrosine-protein kinase ABL inhibitor,Tyrosine-protein kinase ABL
Tg100-801,Fibroblast growth factor receptor 1 inhibitor,Fibroblast growth factor receptor 1
Ly-3023414,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Revexepride,Serotonin 4 (5-HT4) receptor agonist,Serotonin 4 (5-HT4) receptor
Fasitibant,Bradykinin B2 receptor antagonist,Bradykinin B2 receptor
Afacifenacin,Muscarinic acetylcholine receptor antagonist,Muscarinic acetylcholine receptor
Minopafant,Platelet activating factor receptor antagonist,Platelet activating factor receptor
Donitriptan,G protein-coupled receptor 44 antagonist,G protein-coupled receptor 44
Jts-653,Vanilloid receptor antagonist,Vanilloid receptor
Lecozotan,Serotonin 1a (5-HT1a) receptor antagonist,Serotonin 1a (5-HT1a) receptor
Ib-Meca,Adenosine A3 receptor agonist,Adenosine A3 receptor
Insulin Peglispro,Insulin receptor agonist,Insulin receptor
Forigerimod,Heat shock cognate 71 kDa protein inhibitor,Heat shock cognate 71 kDa protein
Etoricoxib,Cyclooxygenase-2 inhibitor,Cyclooxygenase-2
Emixustat,Retinoid isomerohydrolase inhibitor,Retinoid isomerohydrolase
Muparfostat,Basic fibroblast growth factor inhibitor,Basic fibroblast growth factor
Durvalumab,Programmed cell death 1 ligand 1 inhibitor,Programmed cell death 1 ligand 1
Cantuzumab Mertansine,Mucin-1 binding agent,Mucin-1
Dacetuzumab,Tumor necrosis factor receptor superfamily member 5 inhibitor,Tumor necrosis factor receptor superfamily member 5
Naptumomab Estafenatox,Trophoblast glycoprotein other,Trophoblast glycoprotein
Tregalizumab,T-cell surface antigen CD4 agonist,T-cell surface antigen CD4
Mor-103,Granulocyte-macrophage colony-stimulating factor inhibitor,Granulocyte-macrophage colony-stimulating factor
Bi-505,Intercellular adhesion molecule-1 antagonist,Intercellular adhesion molecule-1
Oncolysin Cd6,T-cell differentiation antigen CD6 binding agent,T-cell differentiation antigen CD6
Mbx-2044,Peroxisome proliferator-activated receptor gamma modulator,Peroxisome proliferator-activated receptor gamma
Pasireotide,Somatostatin receptor 5 agonist,Somatostatin receptor 5
Pazopanib,Macrophage colony stimulating factor receptor inhibitor,Macrophage colony stimulating factor receptor
Goserelin,Gonadotropin-releasing hormone receptor agonist,Gonadotropin-releasing hormone receptor
Palonosetron,Serotonin 3a (5-HT3a) receptor antagonist,Serotonin 3a (5-HT3a) receptor
Venlafaxine,Serotonin transporter inhibitor,Serotonin transporter
Imatinib,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Chlorprothixene,Serotonin 2c (5-HT2c) receptor antagonist,Serotonin 2c (5-HT2c) receptor
Amphetamine,Dopamine transporter releasing agent,Dopamine transporter
Oxycodone,Mu opioid receptor agonist,Mu opioid receptor
Tesamorelin,Growth hormone-releasing hormone receptor agonist,Growth hormone-releasing hormone receptor
Betamethasone Dipropionate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Dexamethasone Acetate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Mifepristone,Glucocorticoid receptor antagonist,Glucocorticoid receptor
Estrone,Estrogen receptor alpha agonist,Estrogen receptor alpha
Bethanidine,Norepinephrine transporter substrate,Norepinephrine transporter
Quinine,Ferriprotoporphyrin IX inhibitor,Ferriprotoporphyrin IX
Prazosin,Adrenergic receptor alpha-1 antagonist,Adrenergic receptor alpha-1
Fenoprofen,Cyclooxygenase inhibitor,Cyclooxygenase
Phentolamine,Adrenergic receptor alpha antagonist,Adrenergic receptor alpha
Tetrabenazine,Synaptic vesicular amine transporter inhibitor,Synaptic vesicular amine transporter
Meprobamate,GABA-A receptor; anion channel agonist,GABA-A receptor; anion channel
Peginterferon Alfa-2a,Interferon alpha/beta receptor agonist,Interferon alpha/beta receptor
Idoxuridine,DNA inhibitor,DNA
Enflurane,Potassium channel subfamily K member 18 opener,Potassium channel subfamily K member 18
Lamotrigine,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Pramlintide,Amylin receptor AMY2; CALCR/RAMP2 agonist,Amylin receptor AMY2; CALCR/RAMP2
Colestipol Hydrochloride,Bile acids sequestering agent,Bile acids
Alglucosidase Alfa,Starch hydrolytic enzyme,Starch
Chymotrypsin,Polypeptides proteolytic enzyme,Polypeptides
Levoleucovorin,Unknown,
Belinostat,Histone deacetylase inhibitor,Histone deacetylase
Nintedanib,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Olaparib,"PARP 1, 2 & 3 inhibitor","PARP 1, 2 and 3"
Lgd-2941,Androgen Receptor modulator,Androgen Receptor
Bms-779788,LXR-beta agonist,LXR-beta
Chiauranib,Serine/threonine-protein kinase Aurora-B inhibitor,Serine/threonine-protein kinase Aurora-B
Kw-2449,Serine/threonine-protein kinase Aurora-A inhibitor,Serine/threonine-protein kinase Aurora-A
Mp-412,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Rg-1530,Fibroblast growth factor receptor 1 inhibitor,Fibroblast growth factor receptor 1
Dsp-2230,Sodium channel protein type X alpha subunit blocker,Sodium channel protein type X alpha subunit
Mk-0773,Androgen Receptor modulator,Androgen Receptor
Semapimod,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Seliciclib,Cyclin-dependent kinase 1 inhibitor,Cyclin-dependent kinase 1
Ji-101,Platelet-derived growth factor receptor beta inhibitor,Platelet-derived growth factor receptor beta
Atopaxar,Proteinase-activated receptor 1 antagonist,Proteinase-activated receptor 1
Relcovaptan,Oxytocin receptor antagonist,Oxytocin receptor
Elsiglutide,Glucagon-like peptide 2 receptor agonist,Glucagon-like peptide 2 receptor
Azd7009,Sodium channel protein type V alpha subunit blocker,Sodium channel protein type V alpha subunit
Rapastinel,Glutamate [NMDA] receptor partial agonist,Glutamate [NMDA] receptor
P-1037,"Amiloride-sensitive sodium channel, ENaC blocker","Amiloride-sensitive sodium channel, ENaC"
Brivanib Alaninate,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Ruboxistaurin,Protein kinase C beta inhibitor,Protein kinase C beta
Dovitinib,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Dovitinib,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Zibotentan,Endothelin receptor ET-A antagonist,Endothelin receptor ET-A
Siponimod,Sphingosine 1-phosphate receptor Edg-8 agonist,Sphingosine 1-phosphate receptor Edg-8
Darusentan,Endothelin receptor ET-B antagonist,Endothelin receptor ET-B
Iti-007,Dopamine D2 receptor partial agonist,Dopamine D2 receptor
Mirogabalin,Voltage-gated calcium channel alpha2/delta subunit 2 modulator,Voltage-gated calcium channel alpha2/delta subunit 2
Efungumab,Heat shock protein 90 homolog inhibitor,Heat shock protein 90 homolog
Lym-1,"HLA class II histocompatibility antigen, DRB1-10 beta chain other","HLA class II histocompatibility antigen, DRB1-10 beta chain"
Iodine I 124 Girentuximab,Carbonic anhydrase IX binding agent,Carbonic anhydrase IX
Cg250 177lu,Carbonic anhydrase IX binding agent,Carbonic anhydrase IX
Atacicept,Tumor necrosis factor ligand superfamily member 13B inhibitor,Tumor necrosis factor ligand superfamily member 13B
Semagacestat,Gamma-secretase inhibitor,Gamma-secretase
Liprotamase,Polypeptides proteolytic enzyme,Polypeptides
Blosozumab,Sclerostin inhibitor,Sclerostin
Crenezumab,Beta amyloid A4 protein other,Beta amyloid A4 protein
Oncolysin M,Myeloid cell surface antigen CD33 binding agent,Myeloid cell surface antigen CD33
Clemastine,Histamine H1 receptor antagonist,Histamine H1 receptor
Carbinoxamine,Histamine H1 receptor antagonist,Histamine H1 receptor
Dextromethorphan,Sigma opioid receptor agonist,Sigma opioid receptor
Methyclothiazide,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Thiazide-sensitive sodium-chloride cotransporter
Paricalcitol,Vitamin D receptor agonist,Vitamin D receptor
Phenmetrazine,Dopamine transporter inhibitor,Dopamine transporter
Oxytocin,Oxytocin receptor agonist,Oxytocin receptor
Pralatrexate,Dihydrofolate reductase inhibitor,Dihydrofolate reductase
Abiraterone Acetate,Cytochrome P450 17A1 inhibitor,Cytochrome P450 17A1
"Estrogens, Conjugated",Estrogen receptor agonist,Estrogen receptor
Alfuzosin,Adrenergic receptor alpha-1 agonist,Adrenergic receptor alpha-1
Tacrine,Cholinesterases; ACHE & BCHE inhibitor,Cholinesterases; ACHE & BCHE
Protokylol,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
Indacaterol,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
Clopidogrel,Purinergic receptor P2Y12 antagonist,Purinergic receptor P2Y12
Clavulanic Acid,Bacterial beta-lactamase TEM inhibitor,Bacterial beta-lactamase TEM
Clarithromycin,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Halothane,Potassium channel subfamily K member 10 opener,Potassium channel subfamily K member 10
Propafenone,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Doxapram,Potassium channel subfamily K member 3 blocker,Potassium channel subfamily K member 3
Blinatumomab,T cell surface glycoprotein CD3 cross-linking agent,T cell surface glycoprotein CD3
Lumacaftor,Cystic fibrosis transmembrane conductance regulator stabiliser,Cystic fibrosis transmembrane conductance regulator
Enmd-981693,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Ilx23-7553,Vitamin D receptor agonist,Vitamin D receptor
Bay-1125976,Serine/threonine-protein kinase AKT2 inhibitor,Serine/threonine-protein kinase AKT2
Cm-082,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
Jnj-26483327,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Recilisib,PI3-kinase class I inhibitor,PI3-kinase class I
Ps-516895,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Hemay-022,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Pf-03893787,Histamine H4 receptor antagonist,Histamine H4 receptor
Sonolisib,PI3-kinase class I inhibitor,PI3-kinase class I
Ralinepag,Prostanoid IP receptor agonist,Prostanoid IP receptor
Adc3680,G protein-coupled receptor 44 antagonist,G protein-coupled receptor 44
Azd1386,Vanilloid receptor antagonist,Vanilloid receptor
Grc-17536,Transient receptor potential cation channel subfamily A member 1 antagonist,Transient receptor potential cation channel subfamily A member 1
Acolbifene,Estrogen receptor modulator,Estrogen receptor
Lestaurtinib,Nerve growth factor receptor Trk-A inhibitor,Nerve growth factor receptor Trk-A
Dinaciclib,Cyclin-dependent kinase 1 inhibitor,Cyclin-dependent kinase 1
Fedratinib,Tyrosine-protein kinase JAK2 inhibitor,Tyrosine-protein kinase JAK2
Lixivaptan,Vasopressin V2 receptor antagonist,Vasopressin V2 receptor
Ralfinamide,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Ezatiostat,Glutathione S-transferase Pi inhibitor,Glutathione S-transferase Pi
Oprozomib,26S proteosome inhibitor,26S proteosome
Litronesib,Kinesin-like protein 1 inhibitor,Kinesin-like protein 1
Sotagliflozin,Sodium/glucose cotransporter 2 inhibitor,Sodium/glucose cotransporter 2
Muparfostat,Acidic fibroblast growth factor inhibitor,Acidic fibroblast growth factor
Cilengitide,Integrin alpha-V/beta-5 antagonist,Integrin alpha-V/beta-5
Priliximab,T-cell surface antigen CD4 negative modulator,T-cell surface antigen CD4
Keliximab,T-cell surface antigen CD4 negative modulator,T-cell surface antigen CD4
Mapatumumab,TRAIL receptor-1 agonist,TRAIL receptor-1
Artesunate,Unknown,
Isopropamide,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Ranibizumab,Vascular endothelial growth factor A inhibitor,Vascular endothelial growth factor A
Azelastine,Histamine H1 receptor antagonist,Histamine H1 receptor
Dexchlorpheniramine,Histamine H1 receptor antagonist,Histamine H1 receptor
Bepotastine,Histamine H1 receptor antagonist,Histamine H1 receptor
Cetuximab,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Gefitinib,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Zileuton,Arachidonate 5-lipoxygenase inhibitor,Arachidonate 5-lipoxygenase
Anisotropine,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
Eltrombopag,Thrombopoietin receptor agonist,Thrombopoietin receptor
Regorafenib,Serine/threonine-protein kinase RAF inhibitor,Serine/threonine-protein kinase RAF
Amoxapine,Serotonin transporter inhibitor,Serotonin transporter
Sorafenib,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Fluorouracil,Thymidylate synthase inhibitor,Thymidylate synthase
Dofetilide,HERG blocker,HERG
Insulin Detemir,Insulin receptor agonist,Insulin receptor
Buprenorphine,Mu opioid receptor agonist,Mu opioid receptor
Rimexolone,Glucocorticoid receptor agonist,Glucocorticoid receptor
Drotrecogin Alfa (Activated),Coagulation factor V inhibitor,Coagulation factor V
Probenecid,Solute carrier family 22 member 8 inhibitor,Solute carrier family 22 member 8
Sunitinib,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Testosterone,Androgen Receptor agonist,Androgen Receptor
Azlocillin,Penicillin-binding protein inhibitor,Penicillin-binding protein
Ethchlorvynol,GABA-A receptor; anion channel positive modulator,GABA-A receptor; anion channel
Chloramphenicol Palmitate,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Daptomycin,Cell membrane inhibitor,Cell membrane
Crystal Violet,DNA inhibitor,DNA
Cladribine,DNA inhibitor,DNA
Alatrofloxacin,Bacterial DNA gyrase inhibitor,Bacterial DNA gyrase
Dalfampridine,Voltage-gated potassium channel blocker,Voltage-gated potassium channel
Methyl Aminolevulinate,DNA inhibitor,DNA
Ast-487,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Cm-082,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Gsk-1070916,Serine/threonine-protein kinase Aurora-C inhibitor,Serine/threonine-protein kinase Aurora-C
Gsk-690693,Serine/threonine-protein kinase AKT inhibitor,Serine/threonine-protein kinase AKT
Gsk-690693,cAMP-dependent protein kinase (PKA) inhibitor,cAMP-dependent protein kinase (PKA)
Ly-3007113,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Mk-8033,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Plx-8394,Serine/threonine-protein kinase B-raf inhibitor,Serine/threonine-protein kinase B-raf
Tas-115,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
Xl-228,Insulin-like growth factor I receptor inhibitor,Insulin-like growth factor I receptor
Temanogrel,Serotonin 2a (5-HT2a) receptor inverse agonist,Serotonin 2a (5-HT2a) receptor
Ly2979165,Metabotropic glutamate receptor 2 agonist,Metabotropic glutamate receptor 2
Gsk2798745,Transient receptor potential cation channel subfamily V member 4 antagonist,Transient receptor potential cation channel subfamily V member 4
Finerenone,Mineralocorticoid receptor antagonist,Mineralocorticoid receptor
Peficitinib,Janus Kinase (JAK) inhibitor,Janus Kinase (JAK)
Enmd-2076,Serine/threonine-protein kinase Aurora-B inhibitor,Serine/threonine-protein kinase Aurora-B
Mk-2461,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Milciclib,Cyclin-dependent kinase 4 inhibitor,Cyclin-dependent kinase 4
Pamapimod,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Cerlapirdine,Serotonin 6 (5-HT6) receptor antagonist,Serotonin 6 (5-HT6) receptor
Selodenoson,Adenosine A1 receptor agonist,Adenosine A1 receptor
Cenicriviroc,C-C chemokine receptor type 2 antagonist,C-C chemokine receptor type 2
Lemborexant,Orexin receptor 2 antagonist,Orexin receptor 2
Azd2066,Metabotropic glutamate receptor 5 modulator,Metabotropic glutamate receptor 5
Fadolmidine,Adrenergic receptor alpha-2 agonist,Adrenergic receptor alpha-2
Etalocib,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
Ngd-8243,Vanilloid receptor antagonist,Vanilloid receptor
Baricitinib,Tyrosine-protein kinase JAK2 inhibitor,Tyrosine-protein kinase JAK2
Binodenoson,Adenosine A2a receptor agonist,Adenosine A2a receptor
Idalopirdine,Serotonin 6 (5-HT6) receptor antagonist,Serotonin 6 (5-HT6) receptor
Volinanserin,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Iferanserin,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Zoptarelin Doxorubicin,Gonadotropin-releasing hormone receptor agonist,Gonadotropin-releasing hormone receptor
Moxetumomab Pasudotox,CD22 other,CD22
Entolimod,Toll-like receptor 5 agonist,Toll-like receptor 5
Naproxcinod,Cyclooxygenase inhibitor,Cyclooxygenase
Neramexane,Glutamate [NMDA] receptor antagonist,Glutamate [NMDA] receptor
Delantercept,Bone morphogenetic protein 10 inhibitor,Bone morphogenetic protein 10
Enokizumab,Interleukin-9 inhibitor,Interleukin-9
Ponezumab,Beta amyloid A4 protein other,Beta amyloid A4 protein
Emd-273063,Disialoganglioside GD2 other,Disialoganglioside GD2
Biw-8962,Disialoganglioside GD2 inhibitor,Disialoganglioside GD2
Al-901,Ig epsilon chain C region inhibitor,Ig epsilon chain C region
Pg-102,Tumor necrosis factor receptor superfamily member 5 inhibitor,Tumor necrosis factor receptor superfamily member 5
Cdp-7657,CD40 ligand inhibitor,CD40 ligand
Iph-2101,Killer cell immunoglobulin-like receptor 2DL1 inhibitor,Killer cell immunoglobulin-like receptor 2DL1
Propylthiouracil,Thyroid peroxidase inhibitor,Thyroid peroxidase
Ethionamide,Enoyl-[acyl-carrier-protein] reductase inhibitor,Enoyl-[acyl-carrier-protein] reductase
Balsalazid,Arachidonate 5-lipoxygenase inhibitor,Arachidonate 5-lipoxygenase
Sulfasalazine,Arachidonate 5-lipoxygenase inhibitor,Arachidonate 5-lipoxygenase
Procyclidine,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
Sotalol,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
Sertraline,Serotonin transporter inhibitor,Serotonin transporter
Duloxetine,Serotonin transporter inhibitor,Serotonin transporter
Insulin Pork,Insulin receptor agonist,Insulin receptor
Insulin Susp Isophane Purified Beef,Insulin receptor agonist,Insulin receptor
Sumatriptan,Serotonin 1d (5-HT1d) receptor agonist,Serotonin 1d (5-HT1d) receptor
Urofollitropin,Follicle stimulating hormone receptor agonist,Follicle stimulating hormone receptor
Prednisolone,Glucocorticoid receptor agonist,Glucocorticoid receptor
Bupivacaine,Sodium channel protein type IV alpha subunit blocker,Sodium channel protein type IV alpha subunit
Methylphenidate,Norepinephrine transporter inhibitor,Norepinephrine transporter
Chloroquine,Ferriprotoporphyrin IX inhibitor,Ferriprotoporphyrin IX
Fluvastatin,HMG-CoA reductase inhibitor,HMG-CoA reductase
Naltrexone,Opioid receptors; mu/kappa/delta antagonist,Opioid receptors; mu/kappa/delta
Midodrine,Adrenergic receptor alpha-1 agonist,Adrenergic receptor alpha-1
Oxaprozin,Cyclooxygenase inhibitor,Cyclooxygenase
Hydroxyurea,Ribonucleoside-diphosphate reductase RR1 inhibitor,Ribonucleoside-diphosphate reductase RR1
Tegaserod,Serotonin 4 (5-HT4) receptor partial agonist,Serotonin 4 (5-HT4) receptor
Abatacept,T-lymphocyte activation antigen CD80 inhibitor,T-lymphocyte activation antigen CD80
Atropine,Muscarinic acetylcholine receptor M2 antagonist,Muscarinic acetylcholine receptor M2
Estazolam,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Quazepam,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Dicloxacillin,Penicillin-binding protein inhibitor,Penicillin-binding protein
Demeclocycline,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Interferon Alfa-2b,Interferon alpha/beta receptor agonist,Interferon alpha/beta receptor
Grepafloxacin,Topoisomerase IV inhibitor,Topoisomerase IV
Desflurane,Potassium channel subfamily K member 3 opener,Potassium channel subfamily K member 3
Ferumoxytol,Unknown,
Podofilox,Unknown,
Flibanserin,Unknown,
Chiauranib,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Omipalisib,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Mk-8353,MAP kinase ERK2 inhibitor,MAP kinase ERK2
Pf-03814735,Serine/threonine-protein kinase Aurora-B inhibitor,Serine/threonine-protein kinase Aurora-B
Ly404039,Metabotropic glutamate receptor 3 agonist,Metabotropic glutamate receptor 3
G1t28-1,Cyclin-dependent kinase 4 inhibitor,Cyclin-dependent kinase 4
Anlotinib,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
Alpelisib,PI3-kinase p110-alpha subunit inhibitor,PI3-kinase p110-alpha subunit
Ji-101,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
Verucerfont,Corticotropin releasing factor receptor 1 antagonist,Corticotropin releasing factor receptor 1
Ccx140,C-C chemokine receptor type 2 antagonist,C-C chemokine receptor type 2
Sb-773812,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Carmoterol,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
Becampanel,Glutamate receptor ionotropic AMPA antagonist,Glutamate receptor ionotropic AMPA
Alvocidib,Cyclin-dependent kinase 6 inhibitor,Cyclin-dependent kinase 6
Osemozotan,Serotonin 1a (5-HT1a) receptor agonist,Serotonin 1a (5-HT1a) receptor
Ralfinamide,Monoamine oxidase B inhibitor,Monoamine oxidase B
Inotuzumab Ozogamicin,CD22 binding agent,CD22
Bitopertin,Glycine transporter 1 inhibitor,Glycine transporter 1
Dianhydrogalactitol,DNA cross-linking agent,DNA
Navitoclax,Apoptosis regulator Bcl-X inhibitor,Apoptosis regulator Bcl-X
Burosumab,Fibroblast growth factor 23 inhibitor,Fibroblast growth factor 23
Ensituximab,Mucin-5AC other,Mucin-5AC
Samalizumab,OX-2 membrane glycoprotein inhibitor,OX-2 membrane glycoprotein
Fontolizumab,Interferon gamma inhibitor,Interferon gamma
Elsilimomab,Interleukin-6 inhibitor,Interleukin-6
Oxelumab,Tumor necrosis factor ligand superfamily member 4 inhibitor,Tumor necrosis factor ligand superfamily member 4
Dusigitumab,Insulin-like growth factor I inhibitor,Insulin-like growth factor I
Dusigitumab,Insulin-like growth factor II inhibitor,Insulin-like growth factor II
