SYNONYMS,ATC_CODE,ATC_CODE_DESCRIPTION,INDICATION_CLASS
"Ringer's Injection (USP); Compound Solution Of Sodium Chloride (INN); Sodium Chloride, Compound Solution Of (INN);",,,Replenisher (fluid); Replenisher (electrolyte)
"Epoetin Beta (BAN, INN, JAN, USAN);",B03XA01,B03XA01 [BLOOD AND BLOOD FORMING ORGANS: ANTIANEMIC PREPARATIONS: OTHER ANTIANEMIC PREPARATIONS: Other antianemic preparations],Anti-Anemic; Hematinic
"Insulin Zinc Injection, Crystalline (Aqueous Suspension) (JAN); Insulin Zinc Injection (JAN); Insulin Zinc Suspension (Crystalline) (BAN, INN); Insulin Zinc, Extended (USP); Crystalline (Aqueous Suspension) (JAN);",,,Antidiabetic
Polyoxyl 10 Oleyl Ether (NF);,,,Pharmaceutic Aid (surfactant)
Nefocon A (USAN);,,,Contact Lens Material (hydrophobic)
Pitrakinra (INN);,,,
Elastofilcon A (USAN);,,,Contact Lens Material (hydrophilic)
"Imgatuzumab (INN, USAN);",,,
Aluminum Zirconium Trichlorohydrate (USP);,,,Anhidrotic
"Lumiliximab (INN, USAN); Gomiliximab (USAN);",,,
Polyethylene Excipient (NF);,,,
Taneptacogin Alfa (INN);,,,
Cascara Sagrada (USP); Cascara Sagrada Fluidextract (JAN);,A06AB57; A06AB07,A06AB57 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR CONSTIPATION: DRUGS FOR CONSTIPATION: Contact laxatives]; A06AB07 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR CONSTIPATION: DRUGS FOR CONSTIPATION: Contact laxatives],
Lmb-1,,,
"Ocrelizumab (FDA, INN, USAN);",L04AA36,L04AA36 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSUPPRESSANTS: IMMUNOSUPPRESSANTS: Selective immunosuppressants],
"Glycobiarsol (BAN, INN, MI, USP);",P01AR03; P01AR53,"P01AR03 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ANTIPROTOZOALS: AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES: Arsenic compounds]; P01AR53 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ANTIPROTOZOALS: AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES: Arsenic compounds]",
"Sodium Hypophosphite (MI, NF);",,,
Calcobutrol (INN);,,,
Choline Gluconate (INN);,,,
LIME (USP); Soda Lime (NF);,,,"Carbon Dioxide Absorbant,Pharmaceutic Necessity"
"Calcium Lactate (JAN, USP);",A12AA05,A12AA05 [ALIMENTARY TRACT AND METABOLISM: MINERAL SUPPLEMENTS: CALCIUM: Calcium],Replenisher (calcium)
Quinterenol Sulfate (USAN);,,,Bronchodilator
Potassium Metaphosphate (NF);,,,Pharmaceutic Aid (buffering agent)
Parconazole HCl (USAN);,,,Antifungal
Tricitrates (USP);,,,Anti-Urolithic (uric acid calculi); Alkalizer (urinary); Buffer (neutralizing); Alkalizer (systemic); Anti-Urolithic (cystine calculi)
Tofenacin HCl (USAN);,,,Anticholinergic
Calcium Bromide (JAN);,,,
Clopipazan (INN); Clopipazan Mesylate (USAN);,,,Antipsychotic
Metalkonium Chloride (INN);,,,
Ammonium Sulfate (NF);,,,
Sodium Sulfide (USP);,,,
Esproquin HCl (USAN);,,,Adrenergic
Magnesium Gluconate (USP);,A12CC03,A12CC03 [ALIMENTARY TRACT AND METABOLISM: MINERAL SUPPLEMENTS: OTHER MINERAL SUPPLEMENTS: Magnesium],Replenisher (magnesium)
Prinomide Tromethamine (USAN);,,,Antirheumatic
Salicylate Meglumine (USAN);,,,Antirheumatic; Analgesic
"Ammonium Salicylate (MI, NF);",,,
Sitalidone (INN);,,,
Guanoctine HCl (USAN);,,,Antihypertensive
"Triclofenol Piperazine (BAN, INN, USAN);",,,Anthelmintic
Calcium L-Aspartate (JAN);,,,
Magnesium Phosphate (USP);,B05XA10,B05XA10 [BLOOD AND BLOOD FORMING ORGANS: BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS: I.V. SOLUTION ADDITIVES: Electrolyte solutions],Antacid
Cetocycline HCl (USAN);,,,Antibacterial
"Calteridol (INN); Calteridol Calcium (BAN, USAN);",,,Pharmaceutic Aid
Renyfoline (INN); Paranyline HCl (USAN);,,,Anti-Inflammatory
Levoxadrol (INN); Levoxadrol HCl (USAN);,,,Relaxant (smooth muscle); Anesthetic (local)
Ticarcillin Cresyl Sodium (USAN);,,,Antibacterial
"Linarotene (INN, USAN);",,,Antikeratinizing Agent
Divabuterol (INN);,,,
"Acrocinonide (DCF, INN);",,,
"Octacaine (INN, MI);",,,
"Oletimol (BAN, INN);",,,
Elziverine (INN);,,,
"Lymecycline (BAN, INN, MI);",J01AA04,J01AA04 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: TETRACYCLINES: Tetracyclines],
"Styramate (BAN, INN, MI);",M03BA04,"M03BA04 [MUSCULO-SKELETAL SYSTEM: MUSCLE RELAXANTS: MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS: Carbamic acid esters]",
"Pentapiperide (BAN, INN, MI);",,,
"Carbocloral (BAN, INN, USAN);",,,Sedative-Hypnotic
"Fenproporex (DCF, INN, MI);",,,
Broxaterol (INN);,,,
"Elsibucol (INN, USAN);",,,
"Zoticasone (BAN, INN);",,,
Topilutamide (INN);,,,
Sarakalim (INN);,,,
Metronidazole Phosphate (USAN);,,,Antibacterial; Antiprotozoal
Pimetacin (INN);,,,
Amprotropine Phosphate (MI);,,,
Mexafylline (INN);,,,
Tricosactide (INN);,,,
Nifurvidine (INN);,,,
Acetyltriethyl Citrate (NF);,,,
"Cycotiamine (INN, JAN, MI);",,,
"Cyclarbamate (BAN, DCF, INN, MI);",,,
Melquinast (INN);,,,
Opanixil (INN);,,,
Isalsteine (INN);,,,
"Etisazole (BAN, INN, MI);",,,
"Perfluamine (BAN, INN);",,,
"Rivoglitazone (INN, USAN);",,,
"Fluretofen (INN, USAN);",,,Anti-Inflammatory; Antithrombotic
"Betacetylmethadol (BAN, INN);",,,
"Tolgabide (BAN, INN, USAN);",,,Anti-Epileptic (control of abnormal movements)
"Morazone (BAN, INN, MI);",,,
Itrocinonide (INN);,,,
"Lapisteride (BAN, INN);",,,
Nepinalone (INN);,R05DB26,"R05DB26 [RESPIRATORY SYSTEM: COUGH AND COLD PREPARATIONS: COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS: Other cough suppressants]",
Zolenzepine (INN);,,,
Terflavoxate (INN);,,,
"Alacepril (INN, JAN, MI);",,,
"Ixazomib citrate (FDA, USAN);",L01XX50,L01XX50 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Other antineoplastic agents],
Glycerophosphoric acid,,,
Rolapitant HCl (USAN); Rolapitant (INN); Rolapitant hydrochloride (FDA);,A04AD14,A04AD14 [ALIMENTARY TRACT AND METABOLISM: ANTIEMETICS AND ANTINAUSEANTS: ANTIEMETICS AND ANTINAUSEANTS: Other antiemetics],
XL-550,,,
"Deanol aceglumate (INN, MI); Deanol (BAN);",,,
Capromab Pendetide (USAN);,,,Monoclonal Antibody
"Ferrous Sulfate (FDA, JAN, USP);",B03AD03; B03AA07,"B03AD03 [BLOOD AND BLOOD FORMING ORGANS: ANTIANEMIC PREPARATIONS: IRON PREPARATIONS: Iron in combination with folic acid]; B03AA07 [BLOOD AND BLOOD FORMING ORGANS: ANTIANEMIC PREPARATIONS: IRON PREPARATIONS: Iron bivalent, oral preparations]",Hematinic
Thyrotropin (FDA);,V04CJ01,V04CJ01 [VARIOUS: DIAGNOSTIC AGENTS: OTHER DIAGNOSTIC AGENTS: Tests for thyreoidea function],
Insulin Zinc Susp Purified Pork (FDA);,,,
"Abatacept (BAN, FDA, INN, USAN);",L04AA24,L04AA24 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSUPPRESSANTS: IMMUNOSUPPRESSANTS: Selective immunosuppressants],
"Fluconazole (BAN, FDA, INN, JAN, USAN, USP);",D01AC15; J02AC01,D01AC15 [DERMATOLOGICALS: ANTIFUNGALS FOR DERMATOLOGICAL USE: ANTIFUNGALS FOR TOPICAL USE: Imidazole and triazole derivatives]; J02AC01 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIMYCOTICS FOR SYSTEMIC USE: ANTIMYCOTICS FOR SYSTEMIC USE: Triazole derivatives],Antifungal
"Tegafur (BAN, INN, JAN, USAN);",L01BC03; L01BC53,L01BC03 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: ANTIMETABOLITES: Pyrimidine analogues]; L01BC53 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: ANTIMETABOLITES: Pyrimidine analogues],Antineoplastic
"Spironolactone (BAN, FDA, INN, JAN, USP);",C03DA01,C03DA01 [CARDIOVASCULAR SYSTEM: DIURETICS: POTASSIUM-SPARING AGENTS: Aldosterone antagonists],Diuretic; Aldosterone Antagonist
"Sparfloxacin (BAN, FDA, INN, JAN, USAN);",J01MA09,J01MA09 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: QUINOLONE ANTIBACTERIALS: Fluoroquinolones],Antibacterial
"Salicylamide (BAN, INN, JAN, USP);",N02BA55; N02BA75; N02BA05,N02BA55 [NERVOUS SYSTEM: ANALGESICS: OTHER ANALGESICS AND ANTIPYRETICS: Salicylic acid and derivatives]; N02BA75 [NERVOUS SYSTEM: ANALGESICS: OTHER ANALGESICS AND ANTIPYRETICS: Salicylic acid and derivatives]; N02BA05 [NERVOUS SYSTEM: ANALGESICS: OTHER ANALGESICS AND ANTIPYRETICS: Salicylic acid and derivatives],Analgesic
"Indacrinone (INN, USAN);",,,Antihypertensive; Diuretic
Creatinine (NF);,,,Bulking Agent for Freeze Drying
Vanoxerine (INN);,,,
"Phenprocoumon (BAN, FDA, INN, USAN, USP);",B01AA04,B01AA04 [BLOOD AND BLOOD FORMING ORGANS: ANTITHROMBOTIC AGENTS: ANTITHROMBOTIC AGENTS: Vitamin K antagonists],Anticoagulant
"Troxacitabine (INN, USAN);",,,
"Cannabinol (BAN, INN, MI);",,,
"Metformin (BAN, INN, USAN); Metformin HCl (FDA, JAN, USAN, USP);",A10BA02,"A10BA02 [ALIMENTARY TRACT AND METABOLISM: DRUGS USED IN DIABETES: BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS: Biguanides]",Antidiabetic
"Lenvatinib (INN, USAN); Lenvatinib Mesylate (FDA, USAN);",L01XE29,L01XE29 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Protein kinase inhibitors],
"Cletoquine (BAN, INN);",,,
"Diphenan (DCF, INN, MI);",,,
"Esreboxetine (INN, USAN); Esreboxetine Succinate (USAN);",,,
"Sulfabenz (INN, USAN);",,,Coccidiostat; Antibacterial
Butyl Parahydroxybenzoate (JAN); Butylparaben (NF);,,,Pharmaceutic Aid (antifungal agent)
"Alfadex (BAN, INN);",,,
"Acenocoumarol (INN, MI, NF); Nicoumalone (BAN);",B01AA07,B01AA07 [BLOOD AND BLOOD FORMING ORGANS: ANTITHROMBOTIC AGENTS: ANTITHROMBOTIC AGENTS: Vitamin K antagonists],
"Imidapril (BAN, INN); Imidapril HCl (JAN);",C09AA16,"C09AA16 [CARDIOVASCULAR SYSTEM: AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM: ACE INHIBITORS, PLAIN: ACE inhibitors, plain]",
"Saracatinib Difumarate (USAN); Saracatinib (INN, USAN);",,,
"Rifabutin (BAN, FDA, INN, USAN, USP);",J04AB04,J04AB04 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIMYCOBACTERIALS: DRUGS FOR TREATMENT OF TUBERCULOSIS: Antibiotics],Antibacterial (antimycobacterial)
"Phenolsulphonphthalein (BAN); Phenolsulfonphthalein (JAN, MI, USP);",V04CH03,V04CH03 [VARIOUS: DIAGNOSTIC AGENTS: OTHER DIAGNOSTIC AGENTS: Tests for renal function and ureteral injuries],
"Cladribine (BAN, FDA, INN, USAN);",L01BB04,L01BB04 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: ANTIMETABOLITES: Purine analogues],Antineoplastic
ENMD-981693,,,
"Temozolomide (BAN, FDA, INN, USAN);",L01AX03,L01AX03 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: ALKYLATING AGENTS: Other alkylating agents],
Balicatib (INN);,,,
"Betamethadol (BAN, DCF, INN);",,,
"Flucindole (INN, USAN);",,,Antipsychotic
"Elesclomol (INN, USAN);",,,
"Formocortal (BAN, INN, USAN);",S01BA12,"S01BA12 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIINFLAMMATORY AGENTS: Corticosteroids, plain]",Glucocorticoid
"Sulfiram (BAN, INN, MI);",,,
"Troxerutin (BAN, DCF, INN, MI);",C05CA54; C05CA04,C05CA54 [CARDIOVASCULAR SYSTEM: VASOPROTECTIVES: CAPILLARY STABILIZING AGENTS: Bioflavonoids]; C05CA04 [CARDIOVASCULAR SYSTEM: VASOPROTECTIVES: CAPILLARY STABILIZING AGENTS: Bioflavonoids],
AZD-8330,,,
"Metaclazepam (INN, MI);",,,
Lipoic acid,A16AX01,A16AX01 [ALIMENTARY TRACT AND METABOLISM: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: Various alimentary tract and metabolism products],
"Phenacetin (INN, JAN, USP);",N02BE53; N02BE03; N02BE73,N02BE53 [NERVOUS SYSTEM: ANALGESICS: OTHER ANALGESICS AND ANTIPYRETICS: Anilides]; N02BE03 [NERVOUS SYSTEM: ANALGESICS: OTHER ANALGESICS AND ANTIPYRETICS: Anilides]; N02BE73 [NERVOUS SYSTEM: ANALGESICS: OTHER ANALGESICS AND ANTIPYRETICS: Anilides],
"Bafetinib (INN, USAN);",,,
Ascorbyl Palmitate (NF);,,,Pharmaceutic Aid (antioxidant)
"Metamfetamine (INN); Methamphetamine HCl (FDA, JAN, USP);",N06BA03,"N06BA03 [NERVOUS SYSTEM: PSYCHOANALEPTICS: PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS: Centrally acting sympathomimetics]",Stimulant (central)
Pafenolol (INN);,,,
"Biotin (FDA, INN, JAN, USP);",A11HA05,A11HA05 [ALIMENTARY TRACT AND METABOLISM: VITAMINS: OTHER PLAIN VITAMIN PREPARATIONS: Other plain vitamin preparations],Vitamin
"Apraclonidine (BAN, INN); Apraclonidine HCl (FDA, USAN, USP);",S01EA03,S01EA03 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIGLAUCOMA PREPARATIONS AND MIOTICS: Sympathomimetics in glaucoma therapy 1)],Adrenergic (alpha12-agonist)
"Santonin (JAN, MI, NF);",,,
"Aprobarbital (DCF, INN, MI, NF);",N05CA05,"N05CA05 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Barbiturates, plain]",
"Mecloqualone (INN, USAN);",,,Sedative-Hypnotic
"Tazofelone (INN, USAN);",,,Suppressant (inflammatory bowel disease)
"Frovatriptan Succinate (FDA, USAN); Frovatriptan (BAN, INN);",N02CC07,N02CC07 [NERVOUS SYSTEM: ANALGESICS: ANTIMIGRAINE PREPARATIONS: Selective serotonin (5HT1) agonists],
"Natamycin (BAN, FDA, INN, USAN, USP); Pimaricin (JAN);",D01AA02; A01AB10; S01AA10; A07AA03; G01AA02,"D01AA02 [DERMATOLOGICALS: ANTIFUNGALS FOR DERMATOLOGICAL USE: ANTIFUNGALS FOR TOPICAL USE: Antibiotics]; A01AB10 [ALIMENTARY TRACT AND METABOLISM: STOMATOLOGICAL PREPARATIONS: STOMATOLOGICAL PREPARATIONS: Antiinfectives and antiseptics for local oral treatment]; S01AA10 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIINFECTIVES: Antibiotics]; A07AA03 [ALIMENTARY TRACT AND METABOLISM: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS: INTESTINAL ANTIINFECTIVES: Antibiotics]; G01AA02 [GENITO URINARY SYSTEM AND SEX HORMONES: GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS: ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS: Antibiotics]",Antibacterial (ophthalmic)
"Methocarbamol (BAN, FDA, INN, JAN, USP);",M03BA03; M03BA53; M03BA73,"M03BA03 [MUSCULO-SKELETAL SYSTEM: MUSCLE RELAXANTS: MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS: Carbamic acid esters]; M03BA53 [MUSCULO-SKELETAL SYSTEM: MUSCLE RELAXANTS: MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS: Carbamic acid esters]; M03BA73 [MUSCULO-SKELETAL SYSTEM: MUSCLE RELAXANTS: MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS: Carbamic acid esters]",Relaxant (skeletal muscle)
"Levobupivacaine (BAN, INN); Levobupivacaine HCl (FDA, USAN);",N01BB10,"N01BB10 [NERVOUS SYSTEM: ANESTHETICS: ANESTHETICS, LOCAL: Amides]",
"Quinestrol (BAN, FDA, INN, USAN, USP);",,,Estrogen
"Ramipril (BAN, FDA, INN, USAN, USP);",C09AA05,"C09AA05 [CARDIOVASCULAR SYSTEM: AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM: ACE INHIBITORS, PLAIN: ACE inhibitors, plain]",Enzyme Inhibitor (angiotensin-converting); Antihypertensive
"Pinazepam (INN, MI);",N05BA14,N05BA14 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANXIOLYTICS: Benzodiazepine derivatives],
"Amitifadine HCl (USAN); Amitifadine (INN, USAN);",,,
"Aminoacetic Acid (JAN); Glycine (FDA, INN, USP);",B05CX03,B05CX03 [BLOOD AND BLOOD FORMING ORGANS: BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS: IRRIGATING SOLUTIONS: Other irrigating solutions],
Tivirapine (INN);,,,
Denzimol (INN);,,,
"Riboprine (INN, USAN);",,,Antineoplastic
"Urapidil (BAN, INN, JAN, MI);",C02CA06,"C02CA06 [CARDIOVASCULAR SYSTEM: ANTIHYPERTENSIVES: ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING: Alpha-adrenoreceptor antagonists]",
"Alemcinal (INN, USAN);",,,
Tetragastrin (JAN);,,,
"Hexetidine (BAN, INN, MI);",A01AB12; G01AX16,"A01AB12 [ALIMENTARY TRACT AND METABOLISM: STOMATOLOGICAL PREPARATIONS: STOMATOLOGICAL PREPARATIONS: Antiinfectives and antiseptics for local oral treatment]; G01AX16 [GENITO URINARY SYSTEM AND SEX HORMONES: GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS: ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS: Other antiinfectives and antiseptics]",
"Deracoxib (INN, USAN);",,,
"Clofibric Acid (DCF, INN, MI); Magnesium Clofibrate (INN); Aluminum clofibrate (BAN, INN, JAN); Aluminium clofibrate (INN); Calcium Clofibrate (INN);",,,
"Clobazam (BAN, FDA, INN, USAN);",N05BA09,N05BA09 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANXIOLYTICS: Benzodiazepine derivatives],Tranquilizer (minor)
"Traxoprodil Mesylate (INN, USAN); Traxoprodil (INN);",,,
"Linopirdine (INN, USAN);",N06BX09,"N06BX09 [NERVOUS SYSTEM: PSYCHOANALEPTICS: PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS: Other psychostimulants and nootropics]",Alzheimer's Disease Treatment (cognition enhancer)
"Cinnarizine (BAN, INN, JAN, USAN);",N07CA52; N07CA02,N07CA52 [NERVOUS SYSTEM: OTHER NERVOUS SYSTEM DRUGS: ANTIVERTIGO PREPARATIONS: Antivertigo preparations]; N07CA02 [NERVOUS SYSTEM: OTHER NERVOUS SYSTEM DRUGS: ANTIVERTIGO PREPARATIONS: Antivertigo preparations],Antihistaminic
"Phenazone (BAN, DCF, INN); Antipyrine (JAN, MI, USP);",N02BB51; N02BB01; S02DA03; N02BB71,N02BB51 [NERVOUS SYSTEM: ANALGESICS: OTHER ANALGESICS AND ANTIPYRETICS: Pyrazolones]; N02BB01 [NERVOUS SYSTEM: ANALGESICS: OTHER ANALGESICS AND ANTIPYRETICS: Pyrazolones]; S02DA03 [SENSORY ORGANS: OTOLOGICALS: OTHER OTOLOGICALS: Analgesics and anesthetics]; N02BB71 [NERVOUS SYSTEM: ANALGESICS: OTHER ANALGESICS AND ANTIPYRETICS: Pyrazolones],Analgesic
"Nortopixantrone (BAN, INN);",,,
"Felbinac (BAN, INN, JAN, USAN); Felbinac Ethyl (JAN);",M02AA08,"M02AA08 [MUSCULO-SKELETAL SYSTEM: TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN: TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN: Antiinflammatory preparations, non-steroids for topical use]",Anti-Inflammatory
"Memantine HCl (FDA, USAN); Memantine (BAN, INN, MI);",N06DX01,N06DX01 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTI-DEMENTIA DRUGS: Other anti-dementia drugs],
"Dabigatran (INN, USAN);",,,
"Hexachlorophene (BAN, FDA, INN, USP);",D08AE01,D08AE01 [DERMATOLOGICALS: ANTISEPTICS AND DISINFECTANTS: ANTISEPTICS AND DISINFECTANTS: Phenol and derivatives],"Anti-Infective, Topical; Detergent"
Imidafenacin (INN);,,,
Selenic acid,,,
"Medifoxamine (DCF, INN, MI);",N06AX13,N06AX13 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Other antidepressants],
"Racemethorphan (BAN, DCF, INN, MI);",,,
Pranidipine (INN);,,,
"Molsidomine (BAN, INN, JAN, USAN);",C01DX12,C01DX12 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: VASODILATORS USED IN CARDIAC DISEASES: Other vasodilators used in cardiac diseases],Anti-Anginal; Vasodilator (coronary)
"Dinitolmide (BAN, INN, MI);",,,
Istaroxime (INN);,,,
"Caroverine (INN, MI);",A03AX11,A03AX11 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: Other drugs for functional gastrointestinal disorders],
Bialamicol HCl (USAN);,,,Anti-Amebic
Cyproquinate (USAN); Ciproquinate (INN);,,,Coccidiostat (for poultry)
"Chaulmosulfone (DCF, INN);",,,
Denufosol (INN); Denufosol Tetrasodium (USAN);,,,
"Selepressin (INN, USAN);",,,
Ethaverine HCl (MI); Ethaverine (INN);,,,
Vapitadine Dihydrochloride (USAN);,,,
"Anacetrapib (INN, USAN);",,,
"Fenadiazole (DCF, INN, MI);",,,
Valtrate (INN);,,,
AZD-5672,,,
SGI-1776,,,
"Actarit (INN, JAN);",,,
"Phoxim (BAN, INN, MI);",,,
"Levmetamfetamine (INN, USAN, USP);",,,Nasal Decongestant
MK-3207,,,
PF-03893787,,,
"Octabenzone (INN, USAN);",,,Ultraviolet Screen
"Stiripentol (INN, USAN);",N03AX17,N03AX17 [NERVOUS SYSTEM: ANTIEPILEPTICS: ANTIEPILEPTICS: Other antiepileptics],Anticonvulsant
Delequamine HCl (USAN); Delequamine (INN);,,,Impotence Therapy Adjunct
Risarestat (INN);,,,
"Epelsiban Besylate (USAN); Epelsiban (INN, USAN);",,,
"Diacetylmorphine HCl (MI, USP); Diamorphine (BAN);",,,
"Otilonium Bromide (BAN, INN);",,,
"Dimefadane (INN, USAN);",,,Analgesic
"Cisapride Monohydrate (FDA); Cisapride (BAN, INN, JAN, USAN, BAN, JAN, USAN);",,,Stimulant (peristaltic)
"Cefditoren (INN); Cefditoren Pivoxil (FDA, JAN);",J01DD16,J01DD16 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: OTHER BETA-LACTAM ANTIBACTERIALS: Third-generation cephalosporins],
Ractopamine (INN); Ractopamine HCl (USAN);,,,Growth Stimulant (veterinary)
Alazanine Triclofenate (INN);,,,
"Prizidilol (BAN, INN); Prizidilol HCl (USAN);",,,Antihypertensive
AZD-6703,,,
PF-03654746,,,
CEP-32496,,,
Casokefamide (INN);,,,
"Alphacetylmethadol (BAN, DCF, INN);",,,
Lintopride (INN);,,,
Ganefromycin (INN);,,,
"Oxifentorex (DCF, INN);",,,
"Nabazenil (INN, USAN);",,,Anticonvulsant
"Coleneuramide (INN, USAN);",,,
Taltrimide (INN);,,,
Dioxadilol (INN);,,,
Tepirindole (INN);,,,
Batebulast (INN);,,,
Metheptazine (INN);,,,
Bamirastine (INN);,,,
Aganodine (INN);,,,
Iosimide (INN);,,,
Metrazifone (INN);,,,
"Quindoxin (BAN, INN);",,,
"Aceneuramic Acid (INN, USAN);",M09AX05,M09AX05 [MUSCULO-SKELETAL SYSTEM: OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM: OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM: Other drugs for disorders of the musculo-skeletal system],
"Ilonidap (INN, USAN);",,,Anti-Inflammatory
"Tiformin (BAN, INN, MI);",,,
"Nemadectin (INN, USAN);",,,Antiparasitic (veterinary)
"Revospirone (BAN, INN);",,,
"Letosteine (INN, MI);",R05CB09,"R05CB09 [RESPIRATORY SYSTEM: COUGH AND COLD PREPARATIONS: EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS: Mucolytics]",
Volpristin (INN);,,,
Mariptiline (INN);,,,
"Etifelmine (INN, MI);",,,
"Flualamide (DCF, INN);",,,
"Pramlintide (BAN, INN, USAN); Pramlintide Acetate (FDA, USAN);",A10BX05,"A10BX05 [ALIMENTARY TRACT AND METABOLISM: DRUGS USED IN DIABETES: BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS: Other blood glucose lowering drugs, excl. insulins]",Antidiabetic
"Tioclomarol (DCF, INN, MI);",B01AA11,B01AA11 [BLOOD AND BLOOD FORMING ORGANS: ANTITHROMBOTIC AGENTS: ANTITHROMBOTIC AGENTS: Vitamin K antagonists],
Pidolacetamol (INN);,,,
Sucrose Octaacetate (NF);,,,Pharmaceutic Aid (alcohol denaturant)
"Lenampicillin HCl (JAN); Lenampicillin (INN, MI);",,,
Ioflubenzamide (131i) (INN); Ioflubenzamide I 131 (USAN);,,,
Lachesine Chloride (BAN);,,,
Penprostene (INN);,,,
Ifoxetine (INN);,,,
"Transcainide (INN, USAN);",,,Cardiac Depressant (anti-arrhythmic)
"Verteporfin (BAN, FDA, INN, USAN, USP);",S01LA01,S01LA01 [SENSORY ORGANS: OPHTHALMOLOGICALS: OCULAR VASCULAR DISORDER AGENTS: Antineovascularisation agents],Antineoplastic
"Calcium Hypophosphite (MI, NF);",,,
Barusiban (INN);,,,
Furnidipine (INN);,,,
Dimoxaprost (INN);,,,
